Date,Time,NR Cell Group,Integrity,Downlink Traffic Volume(GB)_5G-NR,Uplink Traffic Volume(GB)_5G-NR,User Downlink Average Throughput(Mbps)_5G-NR,User Uplink Average Throughput(Mbps)_5G-NR,Cell Downlink Average Throughput(Mbps)_5G-NR,Cell Uplink Average Throughput(Mbps)_5G-NR,Average Number of Users_5G-NR,Downlink PRB usage_5G-NR,Uplink PRB usage_5G-NR,CCE usage_5G-NR,Unavailable duration_5G-NR,RACH SR_Contention(%).,RACH SR_non-Contention(%).,Avg CQI (Single Codeword)-NR,Avg CQI 256QAM 5G-NR,Avg CQI 64QAM 5G-NR,SgNB Addition Success Rate_5G-NR,Inter-SgNB PSCell Change Success Rate_5G-NR,Intra-SgNB PSCell Change Success Rate_5G-NR,SgNB-Triggered Abnormal SgNB Release Rate_5G-NR,NR DCR -Include MeNB Triggered,Average PDSCH Scheduling MCS_5G-NR,Average PUSCH Schedulign MCS_5G-NR,N.UL.NI.Avg(dBm)_5G-NR,Average PDSCH RANK 256QAM_5G-NR,Average PDSCH RANK 64QAM_5G-NR,PDSCH IBLER_5G-NR,PDSCH RBler_5G-NR,PUSCH Rbler_5G-NR,Cell Availability
2023-11-14,02:00,"Cluster=Jizan CL1,Rule Name=Opt Clusters",1,268.7114,8.8211,88.6854,7.0024,87.0337,12.8649,613.3977,14.9435,17.593,8.9267,0,65.0491,90.4729,11.7645,11.8101,11.2537,99.982,99.6636,99.9364,0.0099,0.3912,12.2925,21.4998,-107.0513,2.1741,2.1696,5.7597,0.3076,1.2141,100
2023-11-14,02:00,Aseer Province,1,942.8748,36.1174,113.6662,6.3216,98.7405,15.7226,2027.5319,8.6602,11.4445,5.296,0,75.7605,92.9933,10.5754,10.5813,10.466,99.9331,99.3455,99.8863,0.0031,0.3354,12.0387,22.5267,-110.6067,2.1035,2.0052,5.7297,0.1556,0.4566,100
2023-11-14,02:00,Jazan Province,1,320.1843,9.6616,84.4176,6.0949,85.8535,12.7491,743.5786,15.9681,16.9529,9.5782,0,63.7698,89.6769,11.3276,11.4624,10.3805,99.9783,99.6644,99.9144,0.0094,0.485,12.1871,21.5454,-107.5778,2.1057,2.0013,6.0549,0.3513,1.2675,100
2023-11-14,02:00,Najran Province,1,79.5582,2.7301,132.0758,6.3346,94.9544,13.4828,151.3692,13.3954,19.9096,7.9965,0,75.6476,94.6677,10.6525,10.6836,10.1617,99.9174,99.7481,99.917,0,0.2979,12.1465,22.1847,-109.5833,2.1509,1.6762,5.1934,0.1702,0.2608,100
2023-11-14,02:00,"Cluster=Aseer CL1,Rule Name=Opt Clusters",1,148.071,5.2367,124.6168,4.916,85.2395,14.2296,429.8952,4.6439,7.8915,3.2272,0,82.0737,95.8579,10.0496,10.0548,9.9976,99.9502,99.6451,99.8343,0.0047,0.2634,9.8125,21.9447,-110.9074,2.1929,1.9261,5.6525,0.1471,0.6329,100
2023-11-14,02:00,"Cluster=Aseer CL2,Rule Name=Opt Clusters",1,757.8249,29.5709,110.6463,6.38,101.5658,16.1992,1519.6315,11.9192,14.2767,7.0468,0,72.8283,91.6682,10.6317,10.6324,10.6168,99.9217,99.0894,99.8976,0.002,0.3701,12.5416,22.6538,-110.3333,2.0871,2.0657,5.8125,0.1595,0.4117,100
2023-11-14,02:00,"Cluster=Aseer CL4,Rule Name=Opt Clusters",1,5.2755,0.2304,165.9187,4.6434,76.8487,16.1482,25.8352,4.2401,11.6624,3.1402,0,78.0822,94.7088,11.6268,11.6382,10.8739,100,,100,0,0.2655,8.8554,23.1288,-112,2.2146,1.8913,4.0637,0.1492,0.2677,100
2023-11-14,02:00,"Cluster=Najran CL1,Rule Name=Opt Clusters",1,79.5582,2.7301,132.0758,6.3346,94.9544,13.4828,151.3692,13.3954,19.9096,7.9965,0,75.6476,94.6677,10.6525,10.6836,10.1617,99.9174,99.7481,99.917,0,0.2979,12.1465,22.1847,-109.5833,2.1509,1.6762,5.1934,0.1702,0.2608,100
2023-11-14,02:00,"Cluster=Aseer CL3,Rule Name=Opt Clusters",1,31.7033,1.0793,150.5985,37.1723,114.1316,18.4418,52.1701,15.3264,14.7326,7.2578,0,92.4122,95.6437,11.2037,11.2012,11.2594,100,,100,0.021,0.2521,11.7937,23.7102,-112,2.0264,1.8696,4.2739,0.0992,0.2742,100
2023-11-14,02:00,"Cluster=Jizan CL2,Rule Name=Opt Clusters",1,51.4728,0.8405,64.9902,1.539,80.2765,12.0626,130.1808,20.6803,14.0091,12.486,0,58.2573,85.5903,10.362,10.5593,9.6576,99.9576,100,99.8416,0.0071,0.9548,11.6897,21.7916,-111,1.8005,1.7643,7.4947,0.5643,1.5693,100
2023-11-14,03:00,Southern Remote,1,21.3843,0.5859,55.1664,0.745,65.9255,10.723,72.2116,9.2108,11.6099,6.2338,0,88.6588,40.5872,11.4577,11.5354,10.5284,99.9799,,99.8922,0.0201,0.2708,10.3115,22.4539,-110,2.0844,1.4885,5.7463,0.7128,2.622,100
2023-11-14,03:00,Southern Region,1,1946.5419,78.3725,138.813,7.3003,99.925,15.7243,4187.6994,5.6411,9.1407,3.3828,216000,75.1771,88.5579,10.7449,10.752,10.6018,99.9649,99.6642,99.8647,0.0034,0.352,11.2393,22.5595,-111.8119,2.1351,2.1632,4.39,0.1289,0.3641,87.5
2023-11-14,03:00,Southern City,1,984.3002,38.2555,109.783,5.7841,93.8393,14.5964,2377.5598,8.2884,11.8634,5.2042,0,72.9617,90.1128,10.7172,10.7346,10.4547,99.9561,99.6667,99.869,0.003,0.3494,11.9104,22.1989,-110.224,2.1413,1.9975,5.5505,0.1845,0.5448,100
2023-11-14,03:00,"Cluster=Jizan CL1,Rule Name=Opt Clusters",1,220.8595,7.0405,92.2333,5.5072,84.3491,12.3358,566.3551,12.8344,16.7193,7.8073,0,69.3887,78.0911,11.8626,11.9024,11.3564,99.9709,99.8696,99.8331,0.0084,0.2286,11.9294,21.6685,-107.5897,2.2174,2.0461,5.5613,0.2733,1.0876,100
2023-11-14,03:00,Aseer Province,1,779.2932,34.2069,126.4476,5.9008,96.9805,15.621,1868.0692,7.2885,11.1531,4.6373,0,73.8315,91.5197,10.695,10.7019,10.5662,99.9518,99.6126,99.8853,0.0017,0.3589,11.935,22.5055,-110.9533,2.1243,2.0399,5.369,0.1458,0.4079,100
2023-11-14,03:00,Jazan Province,1,268.5351,7.8742,87.5781,4.8734,84.2582,12.3264,698.9757,13.6411,16.12,8.4028,0,68.1075,74.7093,11.4368,11.5512,10.4816,99.9738,99.8698,99.8583,0.0068,0.3293,11.8874,21.6692,-108.0667,2.1418,1.9371,5.7333,0.3195,1.1821,100
2023-11-14,03:00,Najran Province,1,59.665,1.9388,102.0443,6.2896,85.7784,12.4926,130.8318,11.617,18.5058,7.542,0,74.1309,94.0474,10.6935,10.7042,10.5198,99.9532,99.3548,100,0.0082,0.2209,12.1079,21.9859,-109.75,2.1654,1.7633,5.3283,0.1805,0.271,100
2023-11-14,03:00,"Cluster=Aseer CL1,Rule Name=Opt Clusters",1,125.7383,4.3592,127.1552,5.5193,85.2739,13.9695,398.9437,4.0921,7.7304,2.9183,0,86.4365,96.0097,10.1595,10.1381,10.3354,99.9406,99.4994,99.7791,0.0048,0.5671,10.0062,21.9453,-111.3519,2.1983,1.9924,5.5192,0.1182,0.5461,100
2023-11-14,03:00,"Cluster=Aseer CL2,Rule Name=Opt Clusters",1,617.6417,28.8733,123.6673,5.7798,98.9159,16.1636,1394.7275,9.8362,13.9193,6.1083,0,69.1695,89.4429,10.7559,10.7582,10.704,99.9562,99.6986,99.9352,0.0006,0.2899,12.3946,22.5899,-110.6222,2.1122,2.0905,5.3967,0.1559,0.3792,100
2023-11-14,03:00,"Cluster=Aseer CL4,Rule Name=Opt Clusters",1,4.772,0.1348,217.4362,10.1239,69.0347,16.5478,20.6797,3.9215,10.0161,2.6676,0,79.1802,96.4176,11.6659,11.6734,10.2008,99.9403,,99.3711,0,0.2085,7.5633,23.9494,-112.3333,2.3177,1.9502,3.9025,0.0549,0.1951,100
2023-11-14,03:00,"Cluster=Najran CL1,Rule Name=Opt Clusters",1,59.665,1.9388,102.0443,6.2896,85.7784,12.4926,130.8318,11.617,18.5058,7.542,0,74.1309,94.0474,10.6935,10.7042,10.5198,99.9532,99.3548,100,0.0082,0.2209,12.1079,21.9859,-109.75,2.1654,1.7633,5.3283,0.1805,0.271,100
2023-11-14,03:00,"Cluster=Aseer CL3,Rule Name=Opt Clusters",1,31.1412,0.8396,186.2728,22.7713,127.9686,17.4622,53.7183,13.818,14.5324,5.9693,0,95.9434,97.3245,11.2437,11.2632,10.3275,99.9659,,99.5798,0,0.1021,11.8722,24.0027,-112.3333,2.0332,1.8853,4.1381,0.059,0.179,100
2023-11-14,03:00,"Cluster=Jizan CL2,Rule Name=Opt Clusters",1,47.6755,0.8337,69.0423,1.9406,83.8458,12.2713,132.6206,17.3508,13.3639,11.0607,0,63.4783,61.8699,10.536,10.7119,9.7297,99.9878,100,99.9466,0,0.7659,11.7042,21.6727,-111.1667,1.8221,1.7918,6.5034,0.5266,1.7101,100
2023-11-14,04:00,Southern Remote,1,28.1608,1.0903,95.5929,4.9761,82.4466,13.2842,73.4647,9.5759,12.5713,5.7435,0,93.1705,71.6607,11.5973,11.6489,10.7699,99.9708,,99.8258,0.0195,0.1656,10.5121,23.1183,-110,2.0936,1.5618,5.0108,0.629,2.1656,100
2023-11-14,04:00,Southern Region,1,1696.502,67.5986,132.6282,8.3451,98.8313,15.4926,3889.4218,5.0334,8.6194,2.9799,226180,77.2739,90.5353,10.7581,10.7696,10.5302,99.9737,99.7058,99.8899,0.0032,0.2523,11.3153,22.5353,-112.0282,2.1358,2.1147,4.4169,0.1251,0.3512,86.9922
2023-11-14,04:00,Southern City,1,840.858,32.1131,100.6772,6.2631,91.652,14.2231,2211.1795,7.3577,11.2718,4.556,0,73.6575,90.0731,10.7963,10.8161,10.4956,99.9684,99.7825,99.893,0.0034,0.2614,11.9749,22.2061,-110.4098,2.1507,2.0151,5.5535,0.1834,0.5419,100
2023-11-14,04:00,"Cluster=Jizan CL1,Rule Name=Opt Clusters",1,224.8107,7.131,88.5075,6.4355,86.0602,12.4361,553.8613,13.3359,16.5315,7.8279,0,70.7031,90.3682,11.8887,11.9285,11.4428,99.9768,99.8135,99.8564,0.0112,0.2023,12.2847,21.6966,-107.641,2.185,2.1529,5.8903,0.3233,1.1629,100
2023-11-14,04:00,Aseer Province,1,649.7783,27.8464,117.5684,6.5926,95.1233,15.2267,1709.0374,6.2778,10.5522,3.9606,0,76.4763,92.4638,10.7758,10.7863,10.5836,99.9687,99.7687,99.9052,0.0022,0.246,11.9794,22.5926,-111.1933,2.1356,2.0489,5.3014,0.125,0.3556,100
2023-11-14,04:00,Jazan Province,1,268.2338,7.8861,85.0689,5.4778,86.0293,12.3045,687.9446,13.7147,15.9785,8.0985,0,71.5959,80.644,11.4218,11.5177,10.6103,99.9749,99.8138,99.8818,0.01,0.3067,12.1116,21.6664,-108.1111,2.1251,2.0408,5.9661,0.3367,1.2039,100
2023-11-14,04:00,Najran Province,1,45.5868,1.5423,102.5624,5.1074,83.514,11.476,113.4872,9.7961,16.7933,6.58,0,63.6263,94.8458,10.6667,10.7138,9.728,99.9623,100,99.818,0,0.2114,12.628,21.7084,-110,2.1542,1.3006,5.5982,0.2268,0.469,100
2023-11-14,04:00,"Cluster=Aseer CL1,Rule Name=Opt Clusters",1,94.8813,3.2857,130.9899,5.901,82.738,13.7625,359.7287,3.2808,7.1441,2.3958,0,86.2408,95.9775,10.2617,10.2681,10.1939,99.9644,99.8234,99.8613,0.0034,0.3138,9.7515,21.939,-111.4444,2.2088,1.8319,4.5906,0.0854,0.5048,100
2023-11-14,04:00,"Cluster=Aseer CL2,Rule Name=Opt Clusters",1,525.4719,22.5411,113.5679,6.4351,97.6086,15.4067,1280.2948,8.6719,13.1938,5.2611,0,73.0252,90.8389,10.8149,10.8205,10.7013,99.971,99.7186,99.9177,0.0019,0.2295,12.5056,22.6836,-110.9667,2.1215,2.1487,5.5553,0.1378,0.3278,100
2023-11-14,04:00,"Cluster=Aseer CL4,Rule Name=Opt Clusters",1,3.0274,0.0521,189.8824,2.0903,52.5145,16.3967,19.2125,3.3881,9.0316,3.1666,0,78.022,95.7718,11.644,11.6369,11.9842,99.9736,,100,0,0.0793,7.2678,24.0834,-112.6667,2.2181,2.0961,3.636,0.0602,0.2241,100
2023-11-14,04:00,"Cluster=Najran CL1,Rule Name=Opt Clusters",1,45.5868,1.5423,102.5624,5.1074,83.514,11.476,113.4872,9.7961,16.7933,6.58,0,63.6263,94.8458,10.6667,10.7138,9.728,99.9623,100,99.818,0,0.2114,12.628,21.7084,-110,2.1542,1.3006,5.5982,0.2268,0.469,100
2023-11-14,04:00,"Cluster=Aseer CL3,Rule Name=Opt Clusters",1,26.3976,1.9675,196.8201,13.2701,110.2033,22.9536,49.8014,11.9725,17.6821,5.3019,0,95.7672,98.1671,11.5003,11.4995,11.5539,99.9457,,100,0,0.1087,11.3264,24.0541,-112,2.1134,2.2688,3.2955,0.0376,0.1044,100
2023-11-14,04:00,"Cluster=Jizan CL2,Rule Name=Opt Clusters",1,43.4231,0.7551,68.6131,1.1249,85.8735,11.5276,134.0833,15.457,13.4357,9.3061,0,75.0385,54.1296,10.4114,10.5496,9.6681,99.9666,100,99.9471,0.0056,0.7232,11.2642,21.5086,-111.1667,1.8548,1.8032,6.3392,0.4027,1.4285,100
2023-11-14,05:00,Southern Remote,1,32.6437,2.0835,165.3517,12.1629,102.911,15.1,69.4325,8.8648,13.4158,4.7582,0,82.4071,54.9627,11.3474,11.3889,10.7272,99.9805,,100,0.0293,0.1368,11.575,22.7362,-109.6667,2.0735,1.5289,5.4797,0.4223,2.1896,100
2023-11-14,05:00,Southern Region,1,1623.4864,83.2905,142.9022,10.11,99.047,16.203,3829.5908,4.9386,8.8972,2.9395,226800,77.3836,90.4664,10.7819,10.7993,10.4004,99.9707,98.0998,99.8986,0.0053,0.2604,11.4046,22.4709,-112.0095,2.1161,2.0579,4.3724,0.1186,0.3692,86.9565
2023-11-14,05:00,Southern City,1,725.2411,34.2175,100.2287,6.8188,86.3394,14.5449,2172.0409,6.7828,11.1948,4.3399,0,73.0828,91.2209,10.8503,10.8827,10.3183,99.9675,99.6581,99.9016,0.0026,0.2234,11.8912,22.1411,-110.388,2.1477,1.9001,5.4719,0.1852,0.5897,100
2023-11-14,05:00,"Cluster=Jizan CL1,Rule Name=Opt Clusters",1,202.4829,9.4004,93.545,8.4729,83.8035,13.0777,539.3072,12.066,16.889,7.4425,0,64.474,85.3573,11.8062,11.8474,11.326,99.9721,99.7038,99.9414,0.0109,0.2902,12.2347,21.533,-107.5128,2.2289,2.1478,5.6337,0.3164,1.2097,100
2023-11-14,05:00,Aseer Province,1,562.3353,29.7774,127.0487,7.3285,91.1824,15.5748,1692.0664,5.7134,10.541,3.6898,0,78.9898,94.9959,10.8194,10.841,10.3265,99.973,98.5702,99.9033,0.0013,0.1694,11.889,22.494,-111.2133,2.132,1.9958,5.3234,0.1147,0.38,100
2023-11-14,05:00,Jazan Province,1,246.5288,10.0229,85.4888,7.004,83.5518,12.7673,671.0485,12.981,16.2595,7.8949,0,63.9775,77.4244,11.3916,11.4843,10.6229,99.9628,99.7044,99.8909,0.0088,0.3632,12.1266,21.5344,-107.9556,2.1323,1.9614,5.8582,0.3286,1.2987,100
2023-11-14,05:00,Najran Province,1,42.8939,1.8633,73.8252,8.4508,78.1127,12.9606,106.5329,10.3699,16.7354,6.8578,0,67.4753,85.8248,10.8656,11.0081,9.0103,99.9244,99.7778,99.9231,0.0157,0.188,12.7014,21.956,-109.9167,2.142,1.1258,5.5419,0.1899,0.303,100
2023-11-14,05:00,"Cluster=Aseer CL1,Rule Name=Opt Clusters",1,81.5099,4.2663,149.6682,9.6411,84.0505,14.9326,350.8904,2.9458,7.0707,2.1894,0,87.7641,96.6283,10.3309,10.3641,9.9143,99.965,99.6751,99.9481,0,0.1532,10.2632,21.761,-111.2963,2.179,1.7292,4.6989,0.1149,0.6096,100
2023-11-14,05:00,"Cluster=Aseer CL2,Rule Name=Opt Clusters",1,455.0163,22.8119,123.3431,6.7902,92.7877,15.4131,1272.1438,7.8739,13.1918,4.9236,0,75.7079,94.2814,10.8511,10.8672,10.4443,99.9747,97.3342,99.8841,0.0012,0.1781,12.2682,22.6154,-111.0778,2.1291,2.0952,5.5266,0.1198,0.3381,100
