Date,Time,NB-IoT Cell Group,Integrity,L.NB.Traffic.User.Avg,L.NB.Traffic.User.Max,RRC Setup Success Rate (NB-IoT),Downlink UE throughput (NB-IoT),Uplink UE throughput (NB-IoT),Service Drop Rate (NB-IoT),Downlink Packet Loss Rate (NB-IoT),Uplink Residual Block Error Rate (NB-IoT),Downlink SRB Packet Loss Rate (NB-IoT),NB-IoT RACH Success Rate(%),NB-IoT RACH Success Rate(%) Cov-Lvl 0,NB-IoT RACH Success Rate(%) Cov-Lvl 1
2023-11-14,02:00,"Cluster=Aseer CL4,Rule Name=Opt Clusters",1,615.932,4095,98.9362,4.9448,1.4728,0.0023,0,5.0975,0,9.6269,28.3866,1.452
2023-11-14,02:00,"Cluster=Jizan CL1,Rule Name=Opt Clusters",1,1138.2791,5138,99.6762,5.6021,1.8558,0.0035,0,5.8928,0,9.9128,23.2628,1.3537
2023-11-14,02:00,"Cluster=Najran CL1,Rule Name=Opt Clusters",1,456.1667,2439,99.8138,8.0397,2.6508,0.0026,0,1.2435,0,46.3638,58.7106,9.2838
2023-11-14,02:00,"Cluster=Najran CL2,Rule Name=Opt Clusters",1,79.0545,666,99.9948,9.584,3.0084,0,0,0.7228,0,63.2233,68.4012,17.053
2023-11-14,02:00,Aseer Province,1,2680.0253,15319,99.0657,3.3764,1.0944,0.0062,0,7.8456,0,5.1508,15.8195,0.9627
2023-11-14,02:00,Jazan Province,1,2354.1919,10119,99.637,4.8685,1.6393,0.0085,0,6.0326,0,10.0537,21.3263,1.7432
2023-11-14,02:00,Najran Province,1,536.2986,3114,99.8426,8.2787,2.7006,0.0021,0,1.1468,0,49.0218,60.5167,9.872
2023-11-14,03:00,Southern Region,1,34314.8931,104717,96.1626,0.4696,0.5042,0.0827,0.0001,4.0245,0.0001,29.4467,54.411,7.2098
2023-11-14,03:00,"Cluster=Aseer CL2,Rule Name=Opt Clusters",1,3515.518,12372,98.0505,0.8051,0.7659,0.0359,0,5.6833,0,14.7987,40.8317,2.7495
2023-11-14,03:00,"Cluster=Jizan CL2,Rule Name=Opt Clusters",1,6326.339,17551,95.1568,0.3715,0.4098,0.1268,0.0001,3.5592,0.0001,35.9107,54.843,11.8797
2023-11-14,03:00,"Cluster=Aseer CL1,Rule Name=Opt Clusters",1,3317.4541,10734,97.2455,0.4877,0.5172,0.0458,0.0002,6.928,0.0002,15.044,41.5247,3.2778
2023-11-14,03:00,"Cluster=Aseer CL3,Rule Name=Opt Clusters",1,5609.5192,16966,94.8307,0.4291,0.4604,0.0811,0.0002,2.7181,0.0002,47.9013,61.7259,18.5044
2023-11-14,03:00,"Cluster=Aseer CL4,Rule Name=Opt Clusters",1,4968.4397,15904,96.4061,0.5166,0.5569,0.0733,0.0001,2.8567,0.0001,40.6461,63.5304,10.7962
2023-11-14,03:00,"Cluster=Jizan CL1,Rule Name=Opt Clusters",1,4692.7588,14451,97.1869,0.677,0.6244,0.0637,0,3.3437,0,30.6377,52.6926,8.6048
2023-11-14,03:00,"Cluster=Najran CL1,Rule Name=Opt Clusters",1,3402.6509,9769,96.2129,0.4426,0.531,0.1117,0.0002,2.6159,0.0002,41.4116,63.5001,9.5583
2023-11-14,03:00,"Cluster=Najran CL2,Rule Name=Opt Clusters",1,1438.2586,3751,91.5916,0.1676,0.2139,0.1676,0.0001,3.2268,0.0001,53.7944,69.0354,21.5965
2023-11-14,03:00,Aseer Province,1,17412.4356,55996,96.4332,0.5194,0.5466,0.0621,0.0002,4.5099,0.0002,25.3362,52.4273,5.5605
2023-11-14,03:00,Jazan Province,1,11007.1548,31943,96.0736,0.468,0.4853,0.0978,0.0001,3.4726,0.0001,33.4025,53.7944,10.252
2023-11-14,03:00,Najran Province,1,4851.348,13559,95.122,0.3289,0.4022,0.1242,0.0002,2.7361,0.0002,45.0903,65.3281,12.5381
2023-11-14,04:00,Southern Region,1,8757.0036,35719,99.3022,2.3032,1.4067,0.0082,0,5.972,0,10.5077,27.5279,1.5643
2023-11-14,04:00,"Cluster=Aseer CL2,Rule Name=Opt Clusters",1,747.3509,3406,99.6797,5.4961,2.3831,0.0041,0,8.6893,0,3.62,13.5904,0.5433
2023-11-14,04:00,"Cluster=Jizan CL2,Rule Name=Opt Clusters",1,2054.7956,7288,99.0584,1.5979,1.0424,0.0219,0,4.6412,0,17.2434,31.7283,3.467
2023-11-14,04:00,"Cluster=Aseer CL1,Rule Name=Opt Clusters",1,760.7402,3514,99.4079,5.6145,2.0429,0.0066,0,9.6826,0,3.5339,13.657,0.5274
2023-11-14,04:00,"Cluster=Aseer CL3,Rule Name=Opt Clusters",1,1486.5478,6340,98.8814,2.0062,1.1684,0.0035,0,3.4863,0,22.9894,35.3425,6.5691
2023-11-14,04:00,"Cluster=Aseer CL4,Rule Name=Opt Clusters",1,857.7544,4013,99.4798,5.9913,2.1488,0.0004,0,4.6114,0,12.5236,33.3225,1.7136
2023-11-14,04:00,"Cluster=Jizan CL1,Rule Name=Opt Clusters",1,1503.7645,5379,99.7752,7.217,2.829,0.0025,0.0001,4.7767,0.0001,13.086,29.4486,1.7436
2023-11-14,04:00,"Cluster=Najran CL1,Rule Name=Opt Clusters",1,715.3063,2934,99.8269,9.795,4.9035,0,0,1.137,0,52.4676,61.4093,12.5716
2023-11-14,04:00,"Cluster=Najran CL2,Rule Name=Opt Clusters",1,210.2356,1330,98.7955,0.9444,0.7232,0.0123,0,1.2723,0,59.8411,66.7312,19.7073
2023-11-14,04:00,Aseer Province,1,3853.8499,17274,99.3119,3.2925,1.5708,0.0034,0,7.0005,0,7.2377,22.195,1.1414
2023-11-14,04:00,Jazan Province,1,3555.3703,12654,99.3838,2.3699,1.3959,0.0131,0.0001,4.7217,0.0001,15.2016,30.5953,2.5826
2023-11-14,04:00,Najran Province,1,927.275,4276,99.5943,3.3154,2.4291,0.0027,0,1.1702,0,54.0429,62.6407,13.8415
2023-11-14,05:00,Southern Region,1,13698.3663,56250,99.4445,4.994,2.399,0.0063,0,3.8666,0,19.5042,44.511,2.7906
2023-11-14,05:00,"Cluster=Aseer CL2,Rule Name=Opt Clusters",1,1439.0242,7368,99.5721,7.0613,2.8482,0.0064,0,6.5575,0,8.1799,28.8177,1.0797
2023-11-14,05:00,"Cluster=Jizan CL2,Rule Name=Opt Clusters",1,2814.2269,9638,99.4937,4.9993,2.3814,0.0135,0.0001,2.8475,0.0001,27.5453,46.5326,5.6542
2023-11-14,05:00,"Cluster=Aseer CL1,Rule Name=Opt Clusters",1,1408.7947,6664,99.3835,4.8831,1.8376,0.0077,0,7.4668,0,8.4653,29.7099,1.1711
2023-11-14,05:00,"Cluster=Aseer CL3,Rule Name=Opt Clusters",1,2047.7022,7494,98.7555,3.5078,1.9028,0.006,0,2.2178,0,36.5029,50.9287,9.6632
2023-11-14,05:00,"Cluster=Aseer CL4,Rule Name=Opt Clusters",1,1495.5884,6593,99.5188,7.4657,2.6196,0.0004,0,2.7288,0,26.0386,55.5101,3.606
2023-11-14,05:00,"Cluster=Jizan CL1,Rule Name=Opt Clusters",1,2500.0963,9137,99.6727,4.3246,2.6764,0.0032,0.0001,3.0014,0.0001,23.4473,45.4757,3.6053
2023-11-14,05:00,"Cluster=Najran CL1,Rule Name=Opt Clusters",1,1197.4509,6098,99.7598,5.6545,3.1745,0.0031,0,0.9009,0,62.6283,70.5991,19.2621
2023-11-14,05:00,"Cluster=Najran CL2,Rule Name=Opt Clusters",1,284.7197,1107,99.9566,9.9326,3.4651,0,0,0.5091,0,74.8411,78.3835,45.4896
2023-11-14,05:00,Aseer Province,1,6395.7261,28145,99.2609,5.0275,2.1987,0.0053,0,4.8684,0,14.5401,39.6526,2.0152
2023-11-14,05:00,Jazan Province,1,5307.5158,18734,99.5805,4.6527,2.5018,0.0083,0.0001,2.9308,0.0001,25.3969,45.873,4.5519
2023-11-14,05:00,Najran Province,1,1484.3614,7220,99.7931,6.3,3.2352,0.0025,0,0.8101,0,64.95,72.1734,22.9528
2023-11-14,06:00,Southern Region,1,8629.5063,35791,99.3635,3.68,1.9211,0.0117,0,5.1749,0,12.3163,30.9278,1.6772
2023-11-14,06:00,"Cluster=Aseer CL2,Rule Name=Opt Clusters",1,781.5947,4277,99.618,5.641,2.1849,0.0053,0,8.111,0,4.0606,14.4137,0.5518
2023-11-14,06:00,"Cluster=Jizan CL2,Rule Name=Opt Clusters",1,1859.8005,6482,99.3922,4.3284,2.0367,0.0312,0,3.8909,0,19.1362,35.2479,3.6406
2023-11-14,06:00,"Cluster=Aseer CL1,Rule Name=Opt Clusters",1,847.8396,4327,99.2678,2.0714,1.1481,0.0103,0,9.0685,0,4.7749,16.9788,0.6208
2023-11-14,06:00,"Cluster=Aseer CL3,Rule Name=Opt Clusters",1,1429.3635,4995,98.8998,3.5002,1.8009,0.0074,0,2.7201,0,29.9675,43.626,7.7464
2023-11-14,06:00,"Cluster=Aseer CL4,Rule Name=Opt Clusters",1,992.8421,4884,98.9306,2.9618,1.8481,0.0084,0,3.8862,0,16.3162,41.0137,2.0246
2023-11-14,06:00,"Cluster=Jizan CL1,Rule Name=Opt Clusters",1,1522.5397,5424,99.6821,4.0255,2.0876,0.003,0,4.6834,0,13.0442,29.4421,1.7075
2023-11-14,06:00,"Cluster=Najran CL1,Rule Name=Opt Clusters",1,681.724,3217,99.7778,4.7197,2.5084,0.0058,0,1.0271,0,53.9981,65.292,13.5146
2023-11-14,06:00,"Cluster=Najran CL2,Rule Name=Opt Clusters",1,234.0495,942,99.973,10.6719,3.7629,0,0,0.4893,0,74.2447,77.4375,39.2939
2023-11-14,06:00,Aseer Province,1,4055.2164,18483,99.1427,3.2123,1.7219,0.0079,0,6.1697,0,9.15,26.4803,1.2492
2023-11-14,06:00,Jazan Province,1,3377.7516,11898,99.5334,4.1874,2.0487,0.0177,0,4.2431,0,16.0162,32.4582,2.592
2023-11-14,06:00,Najran Province,1,916.7857,4167,99.8143,5.9313,2.8997,0.0046,0,0.8455,0,59.4098,68.9621,16.6849
2023-11-14,07:00,Southern Region,1,15048.5308,60900,99.3418,4.5612,2.408,0.0096,0,3.3154,0,24.5695,51.3758,3.7306
2023-11-14,07:00,"Cluster=Aseer CL2,Rule Name=Opt Clusters",1,1670.6327,7771,99.5044,7.318,2.7534,0.0064,0,5.3999,0,12.0571,38.2241,1.5694
2023-11-14,07:00,"Cluster=Jizan CL2,Rule Name=Opt Clusters",1,3045.8599,11122,99.2527,4.0358,2.2921,0.0248,0,2.477,0,33.3719,53.5582,7.1946
2023-11-14,07:00,"Cluster=Aseer CL1,Rule Name=Opt Clusters",1,1628.4713,7214,99.2617,4.2819,1.8315,0.011,0,6.3984,0,11.5852,36.7197,1.6718
2023-11-14,07:00,"Cluster=Aseer CL3,Rule Name=Opt Clusters",1,2138.076,8022,98.9025,3.5239,2.1288,0.0031,0,1.9779,0,42.1339,57.6371,10.5384
2023-11-14,07:00,"Cluster=Aseer CL4,Rule Name=Opt Clusters",1,1621.2,6951,99.4143,7.1218,2.6596,0.0019,0,2.5157,0,29.8848,57.7919,4.536
2023-11-14,07:00,"Cluster=Jizan CL1,Rule Name=Opt Clusters",1,2664.566,9720,99.5586,4.3877,2.7506,0.0067,0.0001,2.5031,0.0001,28.2596,51.1459,4.8001
2023-11-14,07:00,"Cluster=Najran CL1,Rule Name=Opt Clusters",1,1401.1887,6733,99.5593,3.8503,3.1713,0.0045,0,1.0439,0,62.8974,74.0009,17.6294
2023-11-14,07:00,"Cluster=Najran CL2,Rule Name=Opt Clusters",1,322.5028,1233,99.9257,5.204,2.0341,0,0,0.9168,0,71.9452,80.5948,33.6679
2023-11-14,07:00,Aseer Province,1,7067.6397,29987,99.2452,4.9457,2.2968,0.006,0,4.1762,0,18.7546,46.6188,2.6245
2023-11-14,07:00,Jazan Province,1,5698.3146,20795,99.3954,4.1782,2.479,0.0153,0,2.5032,0,30.7078,52.2461,5.9138
2023-11-14,07:00,Najran Province,1,1726.5432,7984,99.6243,4.0763,2.8434,0.0036,0,1.0172,0,64.6621,75.305,20.6314
2023-11-14,08:00,Southern Region,1,12349.4902,43407,99.3163,4.6908,2.2041,0.0105,0,3.4219,0,20.8419,45.9928,2.7518
2023-11-14,08:00,"Cluster=Aseer CL2,Rule Name=Opt Clusters",1,1042.1321,4540,99.5825,7.1659,2.3138,0.0048,0,6.4348,0,6.8434,24.2618,0.7564
2023-11-14,08:00,"Cluster=Jizan CL2,Rule Name=Opt Clusters",1,2679.2408,7955,99.3666,4.9031,2.2778,0.0251,0,2.3423,0,32.0224,52.1241,6.2136
2023-11-14,08:00,"Cluster=Aseer CL1,Rule Name=Opt Clusters",1,1112.1108,4625,99.2579,4.3283,1.5215,0.0073,0,7.204,0,7.8105,26.9324,0.9152
2023-11-14,08:00,"Cluster=Aseer CL3,Rule Name=Opt Clusters",1,1971.0342,6490,98.7085,4.5209,2.157,0.0057,0,1.9714,0,40.1836,56.5081,9.3244
2023-11-14,08:00,"Cluster=Aseer CL4,Rule Name=Opt Clusters",1,1506.2356,5863,99.2126,6.2191,2.4103,0.0026,0,2.4938,0,29.9186,57.847,3.9504
2023-11-14,08:00,"Cluster=Jizan CL1,Rule Name=Opt Clusters",1,2156.8026,7044,99.5196,3.5707,2.0344,0.0088,0,2.7448,0,23.8354,44.198,4.0981
2023-11-14,08:00,"Cluster=Najran CL1,Rule Name=Opt Clusters",1,1037.3127,4175,99.6262,3.012,2.4674,0.0096,0,0.7112,0,63.5881,72.0566,17.1777
2023-11-14,08:00,"Cluster=Najran CL2,Rule Name=Opt Clusters",1,486.6353,1109,99.9248,10.0577,3.2964,0,0,0.4668,0,80.011,83.6976,45.7293
2023-11-14,08:00,Aseer Province,1,5637.3458,21556,99.1411,5.2442,2.1111,0.0053,0,4.4718,0,15.0124,39.966,1.7963
2023-11-14,08:00,Jazan Province,1,4829.0611,14953,99.4365,4.2354,2.1682,0.0173,0,2.5256,0,27.8928,48.3281,5.0789
2023-11-14,08:00,Najran Province,1,1525.0972,5292,99.6869,4.2021,2.7695,0.0075,0,0.6165,0,69.2742,76.2667,24.3387
2023-11-14,09:00,Southern Region,1,34766.3508,102439,95.4263,0.4514,0.4928,0.0858,0.0001,3.9147,0.0001,29.7516,53.893,7.4408
2023-11-14,09:00,"Cluster=Aseer CL2,Rule Name=Opt Clusters",1,3515.1655,11862,97.7764,0.7492,0.7413,0.0357,0.0002,5.6791,0.0002,15.0471,41.703,2.7716
2023-11-14,09:00,"Cluster=Jizan CL2,Rule Name=Opt Clusters",1,6492.2824,17380,93.7329,0.3598,0.3941,0.1252,0.0002,3.4271,0.0002,36.9643,54.6847,12.4952
2023-11-14,09:00,"Cluster=Aseer CL1,Rule Name=Opt Clusters",1,3505.6191,10905,96.5289,0.409,0.4597,0.055,0,6.7094,0,15.5063,41.0246,3.5674
2023-11-14,09:00,"Cluster=Aseer CL3,Rule Name=Opt Clusters",1,5833.5843,16974,94.2881,0.4086,0.4575,0.1041,0.0001,2.5779,0.0001,48.6216,62.3919,19.0363
2023-11-14,09:00,"Cluster=Aseer CL4,Rule Name=Opt Clusters",1,4901.0551,15271,95.995,0.5373,0.5756,0.0658,0.0001,2.7725,0.0001,41.1619,64.0443,11.2643
2023-11-14,09:00,"Cluster=Jizan CL1,Rule Name=Opt Clusters",1,4479.3773,13156,97.1623,0.7174,0.6796,0.0409,0.0001,3.2304,0.0001,29.4121,49.0236,7.9112
2023-11-14,09:00,"Cluster=Najran CL1,Rule Name=Opt Clusters",1,3440.4054,9846,95.2595,0.423,0.5044,0.1297,0.0001,2.7384,0.0001,39.8243,63.1947,9.2053
2023-11-14,09:00,"Cluster=Najran CL2,Rule Name=Opt Clusters",1,1547.0438,3760,88.9113,0.1497,0.1903,0.1954,0.0001,3.3397,0.0001,50.3537,63.4693,22.3217
2023-11-14,09:00,Aseer Province,1,17756.2496,55022,95.9513,0.4916,0.5339,0.069,0.0001,4.3676,0.0001,25.9817,52.909,5.8623
2023-11-14,09:00,Jazan Province,1,10961.1177,30484,95.2491,0.465,0.4862,0.087,0.0001,3.3507,0.0001,33.3932,52.071,10.2198
2023-11-14,09:00,Najran Province,1,4997.1656,13648,93.588,0.3069,0.3721,0.1459,0.0001,2.8592,0.0001,43.0316,63.3163,12.3849
2023-11-14,10:00,Southern Region,1,43508.9916,128858,96.1724,0.5149,0.2986,0.0994,0,3.4576,0,33.3476,58.8998,8.3731
2023-11-14,10:00,"Cluster=Aseer CL2,Rule Name=Opt Clusters",1,3865.9771,13397,98.1141,1.1905,0.4975,0.0436,0,5.279,0,15.0722,43.788,2.7518
2023-11-14,10:00,"Cluster=Jizan CL2,Rule Name=Opt Clusters",1,8244.5881,21952,94.3688,0.3954,0.2526,0.164,0,3.0074,0,41.0316,58.7813,14.3441
2023-11-14,10:00,"Cluster=Aseer CL1,Rule Name=Opt Clusters",1,3469.3003,11234,98.0359,0.9275,0.4062,0.0242,0,6.1463,0,14.6591,42.1641,3.1741
2023-11-14,10:00,"Cluster=Aseer CL3,Rule Name=Opt Clusters",1,7860.673,23212,95.0267,0.397,0.2582,0.1194,0,2.3929,0,50.4264,65.0254,19.1948
2023-11-14,10:00,"Cluster=Aseer CL4,Rule Name=Opt Clusters",1,6776.0556,21126,97.2398,0.5923,0.3149,0.0639,0.0001,2.2781,0.0001,49.1911,71.1735,14.1131
2023-11-14,10:00,"Cluster=Jizan CL1,Rule Name=Opt Clusters",1,6163.235,17923,97.239,0.6675,0.3561,0.0546,0,2.839,0,36.0905,55.9903,11.2977
2023-11-14,10:00,"Cluster=Najran CL1,Rule Name=Opt Clusters",1,4499.431,13008,96.4169,0.4377,0.2865,0.1571,0,2.2814,0,48.452,70.9798,11.881
2023-11-14,10:00,"Cluster=Najran CL2,Rule Name=Opt Clusters",1,1155.8749,2837,94.8804,0.24,0.1643,0.1687,0,3.2818,0,49.2465,67.1789,18.6801
2023-11-14,10:00,Aseer Province,1,21963.9244,68948,96.8152,0.5893,0.3233,0.071,0,3.8669,0,28.5803,57.5747,6.2563
2023-11-14,10:00,Jazan Province,1,14391.8139,39821,95.6106,0.487,0.2893,0.1157,0,2.9429,0,38.6672,57.4125,12.8391
2023-11-14,10:00,Najran Province,1,5679.3968,15920,96.0768,0.3857,0.2538,0.1592,0,2.4428,0,48.7184,70.1135,13.5015
2023-11-14,11:00,Southern Region,1,67413.7695,189451,97.9449,0.5976,0.4345,0.0449,0.0001,3.69,0.0001,39.1875,63.9925,9.8252
2023-11-14,11:00,"Cluster=Aseer CL2,Rule Name=Opt Clusters",1,8880.7623,25352,98.1313,0.6147,0.4246,0.0267,0.0001,5.1734,0.0001,26.7767,55.4933,6.1892
2023-11-14,11:00,"Cluster=Jizan CL2,Rule Name=Opt Clusters",1,11485.334,31126,97.5052,0.5386,0.4034,0.0775,0.0001,3.0992,0.0001,45.5201,64.9451,13.5372
2023-11-14,11:00,"Cluster=Aseer CL1,Rule Name=Opt Clusters",1,7593.3923,21167,97.2974,0.3966,0.2997,0.0363,0.0001,6.0522,0.0001,25.4513,53.7646,6.4423
2023-11-14,11:00,"Cluster=Aseer CL3,Rule Name=Opt Clusters",1,9474.5672,26588,98.0722,0.827,0.5385,0.0403,0,2.3857,0,55.1108,69.8268,18.2546
2023-11-14,11:00,"Cluster=Aseer CL4,Rule Name=Opt Clusters",1,8560.4013,24935,99.0377,0.8586,0.5844,0.0127,0,2.6527,0,49.2319,73.1932,11.5986
2023-11-14,11:00,"Cluster=Jizan CL1,Rule Name=Opt Clusters",1,9947.3965,27240,97.4329,0.5117,0.4004,0.0554,0.0001,3.3397,0.0001,40.0869,60.8756,12.1566
2023-11-14,11:00,"Cluster=Najran CL1,Rule Name=Opt Clusters",1,7735.6653,22780,98.2682,0.7775,0.5822,0.0455,0.0002,2.6127,0.0002,50.5125,74.0041,11.313
2023-11-14,11:00,"Cluster=Najran CL2,Rule Name=Opt Clusters",1,1632.8027,4496,98.0348,0.3417,0.2576,0.0351,0.0001,2.5117,0.0001,59.0915,74.3124,21.6136
2023-11-14,11:00,Aseer Province,1,34546.0067,98146,98.209,0.643,0.447,0.029,0.0001,4.1617,0.0001,35.1145,62.4247,8.1761
2023-11-14,11:00,Jazan Province,1,21388.4426,58237,97.4631,0.5242,0.4007,0.0671,0.0001,3.2289,0.0001,42.6619,62.8329,12.7698
2023-11-14,11:00,Najran Province,1,9375.8723,27301,98.2222,0.6447,0.4887,0.0433,0.0002,2.5954,0.0002,52.1447,74.0773,12.8897
2023-11-14,12:00,Southern Region,1,5620.1236,27296,99.4828,4.1194,1.471,0.0072,0,6.8334,0,7.2725,19.886,1.1588
2023-11-14,12:00,"Cluster=Aseer CL2,Rule Name=Opt Clusters",1,653.2665,3950,99.6631,5.8266,1.8938,0.0043,0,8.6815,0,3.02,11.6501,0.469
2023-11-14,12:00,"Cluster=Jizan CL2,Rule Name=Opt Clusters",1,1124.0595,4633,99.4946,4.2373,1.5108,0.0172,0.0001,5.8406,0.0001,11.3572,21.7007,2.2671
2023-11-14,12:00,"Cluster=Aseer CL1,Rule Name=Opt Clusters",1,601.603,3531,99.4522,4.8649,1.6612,0.0075,0.0001,9.3619,0.0001,2.6259,9.9096,0.4372
2023-11-14,12:00,"Cluster=Aseer CL3,Rule Name=Opt Clusters",1,875.5937,4542,98.9589,2.637,1.0461,0.0035,0,4.7062,0,16.9327,26.3241,5.522
2023-11-14,12:00,"Cluster=Aseer CL4,Rule Name=Opt Clusters",1,533.121,2718,99.4907,4.9355,1.5055,0,0,5.1915,0,9.4389,27.831,1.4656
2023-11-14,12:00,"Cluster=Jizan CL1,Rule Name=Opt Clusters",1,1026.7194,3983,99.774,6.4411,2.3338,0.0036,0,5.9037,0,9.2649,19.9111,1.3147
2023-11-14,12:00,"Cluster=Najran CL1,Rule Name=Opt Clusters",1,470.747,2438,99.8289,8.2078,2.9456,0.0019,0,1.2842,0,45.4429,57.6757,9.3495
2023-11-14,12:00,"Cluster=Najran CL2,Rule Name=Opt Clusters",1,64.1053,341,99.9785,9.0688,2.2779,0,0,0.682,0,62.3236,69.4849,16.4482
2023-11-14,12:00,Aseer Province,1,2666.3637,14743,99.3479,3.8186,1.3159,0.0039,0,7.5832,0,5.2779,16.7278,0.9367
