Date,LTE Cell Group,Integrity,VOLTE Traffic Erl,Connected User Avg (VoIP),DL Active User Avg (VoIP),DL Throughput QCI.1 Mbps (VoIP),SRVCC Success Rate Overall,SRVCC Success Rate Overall (E2G),SRVCC Success Rate Overall (E2W),Mobily VoLTE Call Drop%,E-RAB Setup Success Rate QCI.1 (VoIP),UL Mute call %(%),DL Mute call %(%),UL Packet Loss Rate QCI.1 (VoIP),UL Packet Loss Rate QCI.5 (VoIP),DL Packet Loss Rate QCI.5 (VoIP),DL Packet Loss Rate QCI.1 (VoIP),E2E VQI Avg (VoIP),DL VQI Avg (VoIP),UL VQI Avg (VoIP),QCI1 DL IBLER(%),QCI1 UL IBLER(%),UEs in the DRX sleep state Ratio,SRVCC Failuers,L.E-RAB.AbnormRel.MMETot.VoIP,L.E-RAB.AbnormRel.MME.HOOut.QCI.1,L.E-RAB.AbnormRel.MME.EUtranGen.VoIP,L.Voice.DL.PktNum.AMRNB.12.2,L.Voice.DL.PktNum.AMRWB.23.85,L.Cell.Unavail.Dur.Sys(s),Cell.Availability(%),Availability Duration(s),VOLTE Thrpt Lic Failures,SRVCC E2W Failures,SRVCC E2G Failures
9/11/2023,Sabya,45180Sabya,5316.2158,253.8085,100.0048,0.5217,97.7768,99.2218,97.6883,0.2543,99.97,0.0909,0.0613,0.0609,0.0068,0.0181,0.0303,3.495,3.5131,3.5043,2.0962,3.8917,71.9801,99,758,72,547,402022147,137935489,23020,99.9484,41121085,0,97,2
9/11/2023,Abu Arish,45180Abu Arish,3396.0298,160.5206,63.0302,0.504,98.5828,98.3444,98.6196,0.2531,99.9511,0.0758,0.0575,0.069,0.0041,0.0139,0.0304,3.4454,3.4606,3.4571,2.6029,3.8926,75.1554,32,478,79,363,288236461,68471797,53445,99.8808,42170010,0,27,5
9/11/2023,Najran,45180Najran,11928.2411,558.56,216.2133,0.5015,98.7166,99.2754,98.6734,0.1785,99.9757,0.0478,0.0428,0.0419,0.0037,0.0088,0.0254,3.4533,3.4697,3.476,2.152,3.8523,72.3919,74,1185,84,847,1022263215,264357238,70,99.9999,128303930,0,71,3
9/11/2023,Jizan,45180Jizan,10997.3722,522.4208,191.044,0.5015,98.7533,99.0177,98.7317,0.39,99.9616,0.0762,0.062,0.0526,0.0068,0.0148,0.0466,3.4739,3.4919,3.4981,2.3474,3.3129,73.6343,84,2412,155,1732,878360652,265371574,197650,99.7876,86846660,0,79,5
9/11/2023,Southern Remote,45180Southern Remote,44337.8664,2092.5206,796.2297,0.5116,97.7388,96.2971,98.0527,0.357,99.9691,0.0776,0.0673,0.0774,0.0215,0.0369,0.03,3.4596,3.4756,3.4717,2.4905,3.8018,69.0765,1680,10837,1281,6379,3395437121,932580386,1553185,99.6802,475568705,2,1188,492
9/11/2023,Western Region,45180Western Region,14242.5847,666.6816,253.9212,0.5714,96.1405,98.1308,95.9297,0.5802,99.9718,0.1083,0.0949,0.0897,0.1138,0.0763,0.0273,3.607,3.6272,3.5992,2.6801,3.8372,63.5986,1380,7855,975,2267,712489164,499527256,1029055,99.0956,109868655,2,1316,64
9/11/2023,Remote Jizan,45180Remote Jizan,18792.7394,896.4293,338.5052,0.5134,97.3888,94.4233,97.9693,0.3452,99.967,0.085,0.0735,0.0823,0.0089,0.0142,0.0266,3.4623,3.4793,3.4684,2.61,3.7779,68.3769,921,4851,585,2819,1359797097,377113635,835170,99.468,151386855,2,599,322
9/11/2023,Remote Najran,45180Remote Najran,6544.8317,305.8416,117.8403,0.5106,98.3601,98.4848,98.2972,0.2736,99.9808,0.0631,0.0559,0.06,0.0227,0.0539,0.0264,3.4477,3.4623,3.4576,2.615,3.7404,68.5634,197,990,134,715,516973869,131725817,37760,99.9513,77330150,0,136,61
9/11/2023,Remote Aseer,45180Remote Aseer,19000.2953,890.2497,339.8842,0.5101,97.9194,96.8741,98.0744,0.4011,99.9673,0.0755,0.0653,0.0786,0.0325,0.0528,0.0345,3.461,3.4765,3.4795,2.331,3.8454,69.9822,562,4996,562,2845,1518666155,423740934,680255,99.7291,246851700,0,453,109
9/11/2023,Southern City,45180Southern City,63314.0629,2983.5936,1026.7049,0.4893,97.9037,97.6953,97.9204,0.2634,99.9671,0.0571,0.0481,0.0497,0.0264,0.0124,0.0318,3.4668,3.4837,3.4964,2.1286,3.375,72.8155,662,9371,636,6318,5283107310,1511178128,597870,99.9205,713596905,0,608,54
9/11/2023,"Cluster=Aseer CL1,Rule Name=Opt Clusters","45180Cluster=Aseer CL1,Rule Name=Opt Clusters",13855.7069,649.0109,203.0466,0.4799,97.349,96.875,97.3787,0.2769,99.969,0.047,0.0456,0.0482,0.0467,0.0288,0.0309,3.469,3.4865,3.5103,2.0532,3.0859,70.3715,216,2387,116,1478,1173200339,345513226,34825,99.9847,217430015,0,201,15
9/11/2023,"Cluster=Aseer CL2,Rule Name=Opt Clusters","45180Cluster=Aseer CL2,Rule Name=Opt Clusters",24610.9723,1159.0365,367.9694,0.4785,96.8737,94.8859,97.0599,0.2781,99.9658,0.0557,0.0459,0.0606,0.0542,0.0329,0.0322,3.4704,3.4872,3.5044,1.9634,3.4867,69.4297,464,3806,317,2367,2047362302,602317837,594670,99.758,235696190,0,399,65
9/11/2023,"Cluster=Aseer CL3,Rule Name=Opt Clusters","45180Cluster=Aseer CL3,Rule Name=Opt Clusters",6163.9853,288.9642,114.0321,0.5159,98.3735,98.3668,98.3742,0.4584,99.965,0.0688,0.0726,0.0753,0.0111,0.0357,0.0322,3.4463,3.4606,3.4653,2.3896,3.6008,70.3973,139,1898,190,1030,490445487,119741963,290150,99.7431,109856200,0,126,13
9/11/2023,"Cluster=Jizan CL1,Rule Name=Opt Clusters","45180Cluster=Jizan CL1,Rule Name=Opt Clusters",20108.0298,957.8763,353.8806,0.5054,97.9417,95.3166,98.3773,0.3496,99.9649,0.0793,0.0632,0.0741,0.0066,0.0145,0.038,3.4677,3.4856,3.4805,2.5386,3.5771,71.7672,491,4353,358,2933,1544053344,449469779,356665,99.7915,163340165,2,332,159
9/11/2023,"Cluster=USF8 CL1,Rule Name=Opt Clusters","45180Cluster=USF8 CL1,Rule Name=Opt Clusters",0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,100,0,0,0,0
9/11/2023,"Cluster=USF8 CL2,Rule Name=Opt Clusters","45180Cluster=USF8 CL2,Rule Name=Opt Clusters",52.748,2.4451,0.9043,0.4885,95.4545,83.3333,100,0,100,0.0473,0.028,0.0294,0,0.0011,0.0089,3.4522,3.4638,3.4845,1.6868,3.7305,58.0582,1,1,0,0,4596013,1140962,0,100,345600,0,0,1
9/11/2023,"Cluster=Aseer CL4,Rule Name=Opt Clusters","45180Cluster=Aseer CL4,Rule Name=Opt Clusters",8424.3575,392.4479,155.6082,0.5195,98.5085,97.4359,98.7591,0.3056,99.9743,0.0691,0.0567,0.0574,0.0028,0.0143,0.027,3.4524,3.466,3.4649,2.7953,3.4946,71.3191,172,1680,207,960,676388535,177905079,91580,99.9255,120083500,0,116,56
9/11/2023,"Cluster=Jizan CL2,Rule Name=Opt Clusters","45180Cluster=Jizan CL2,Rule Name=Opt Clusters",18068.9564,860.2685,332.5283,0.5156,97.4053,94.8605,97.8188,0.3273,99.964,0.0869,0.0721,0.0655,0.0088,0.0149,0.0277,3.4702,3.4867,3.4815,2.3746,3.787,70.6094,632,4122,521,2514,1359105169,393603916,752620,99.5384,152827645,0,457,175
9/11/2023,"Cluster=Najran CL1,Rule Name=Opt Clusters","45180Cluster=Najran CL1,Rule Name=Opt Clusters",14643.7961,684.9452,263.8256,0.5026,98.3287,97.9452,98.4179,0.2092,99.9766,0.0534,0.0479,0.049,0.0082,0.0146,0.026,3.4531,3.4691,3.4716,2.2083,3.8334,72.0212,194,1695,159,1210,1244869933,324565330,25935,99.9839,156212175,0,149,45
9/11/2023,"Cluster=Najran CL2,Rule Name=Opt Clusters","45180Cluster=Najran CL2,Rule Name=Opt Clusters",1776.125,83.5648,32.044,0.5023,98.8617,99.0571,98.5158,0.2819,99.9777,0.0559,0.0475,0.0489,0.0443,0.1382,0.0251,3.4286,3.4449,3.4441,2.3759,3.7325,65.4124,34,267,49,205,143119322,30641384,4610,99.9864,33719720,0,16,18
9/11/2023,Jazan Province,45180Jazan Province,38181.9406,1818.2729,686.4489,0.5101,97.6767,95.1101,98.096,0.3387,99.9645,0.0829,0.0674,0.07,0.0077,0.0148,0.0332,3.4688,3.486,3.4809,2.4617,3.6755,71.201,1120,8487,877,5445,2904022711,842645381,1110770,99.6692,317840365,2,789,331
9/11/2023,Aseer Province,45180Aseer Province,52962.201,2485.3978,839.0054,0.4892,97.7069,96.8976,97.8002,0.3016,99.9678,0.0569,0.0507,0.0584,0.0374,0.0287,0.0311,3.4646,3.4809,3.4957,2.16,3.3898,70.4246,979,9726,825,5814,4376906467,1245376728,1009740,99.8571,681047750,0,842,137
9/11/2023,Najran Province,45180Najran Province,16507.7877,772.4436,297.4803,0.5024,98.3772,98.2452,98.4329,0.2198,99.9768,0.0538,0.0479,0.0492,0.013,0.0316,0.0258,3.4498,3.4658,3.468,2.2332,3.8233,71.3178,243,1995,215,1438,1397615253,355736405,30545,99.9844,190277495,0,165,78
9/12/2023,Khamis Mushait,45181Khamis Mushait,16480.9449,773.9583,225.1294,0.469,96.6996,93.3333,96.928,0.2661,99.9671,0.05,0.0448,0.053,0.0025,0.0099,0.0342,3.4725,3.489,3.5142,1.8516,3.1873,48.4857,187,2100,122,1361,1404967429,420952842,101770,99.9413,165776090,0,163,24
9/12/2023,Bishah,45181Bishah,2924.2763,137.4335,54.8771,0.518,97.8283,100,97.4638,0.2786,99.9757,0.0425,0.0405,0.0342,0.0041,0.0154,0.0261,3.4522,3.4684,3.4784,3.0667,3.3857,72.6138,21,432,30,323,254885427,67056036,24595,99.9593,57777005,0,21,0
9/12/2023,Southern Region_FDD,45181Southern Region_FDD,106278.1793,5011.1626,1799.2656,0.4986,97.6398,96.0818,97.908,0.3131,99.9434,0.0651,0.0575,0.061,0.0176,0.0241,0.0317,3.4648,3.4813,3.4874,2.2788,3.5618,70.9378,2367,20483,1724,12911,8569085759,2440432935,2363675,99.6658,699127990,0,1790,577
9/12/2023,Southern Region_TDD,45181Southern Region_TDD,307.6731,20.278,7.0038,0.4768,95.957,96.2853,95.9062,1.3508,99.9494,0.5262,0.1856,0.2551,0.0193,0.0609,0.1519,3.4051,3.4223,3.3875,3.7013,5.1431,60.0452,203,600,234,358,24016636,5011505,1073125,99.8172,534620695,0,178,25
9/12/2023,Western Region_FDD,45181Western Region_FDD,14101.0814,666.3513,252.4078,0.5667,97.2574,96.7558,97.3126,0.6252,99.975,0.1088,0.1039,0.0973,0.1744,0.0751,0.0278,3.5939,3.6153,3.5914,2.7078,3.8946,63.3523,971,8767,1015,2620,722472524,490173040,843580,99.2408,107831075,3,857,114
9/12/2023,Western Region_TDD,45181Western Region_TDD,23.0638,1.06,0.4298,0.4681,96.3087,100,95.0226,1.6334,99.7354,0.3225,0.4302,0.1011,0.0218,0.0977,0.3543,3.4186,3.4291,3.3601,4.9789,4.3073,69.8448,11,37,10,16,1205732,202088,0,100,2073600,0,11,0
9/12/2023,Abha,45181Abha,9846.2556,461.2849,131.9814,0.471,96.3211,95.8333,96.3464,0.2443,99.9717,0.0399,0.0421,0.0437,0.0282,0.0128,0.0295,3.4737,3.491,3.5166,2.0057,2.8593,68.5045,143,1413,45,950,830295110,252162407,15505,99.9905,154722935,0,135,8
9/12/2023,Southern Region All,45181Southern Region All,120709.9977,5698.852,2059.107,0.5064,97.4811,96.2296,97.6758,0.3526,99.947,0.0713,0.0633,0.0658,0.0344,0.0319,0.0316,3.4799,3.497,3.4993,2.332,3.6062,69.9435,3552,29887,2983,15905,9316780651,2935819568,4280380,99.696,1343653360,3,2836,716
9/12/2023,Southern Region,45181Southern Region,106585.8524,5031.4407,1806.2694,0.4986,97.5596,96.0907,97.8112,0.3201,99.9438,0.0662,0.0578,0.0615,0.0177,0.0267,0.0321,3.4647,3.4811,3.4871,2.2817,3.5667,70.8953,2570,21083,1958,13269,8593102395,2445444440,3436800,99.7345,1233748685,0,1968,602
9/12/2023,Muhayel,45181Muhayel,1942.3975,91.8894,35.6681,0.4992,98.705,100,98.6175,0.3832,99.9665,0.0683,0.0491,0.0594,0.0017,0.0221,0.0371,3.4369,3.4508,3.4578,2.1068,3.8111,70.2956,18,457,23,258,159107132,35736436,218970,99.4405,37236810,0,18,0
9/12/2023,Sabya,45181Sabya,5179.3984,245.2517,96.7596,0.5197,97.2066,95.9514,97.2838,0.2617,99.9793,0.0869,0.0614,0.0592,0.0386,0.0205,0.0324,3.4957,3.5134,3.5057,2.0968,3.9219,72.008,119,759,59,576,391690930,132221216,7890,99.9823,41310915,0,109,10
9/12/2023,Abu Arish,45181Abu Arish,3383.8902,161.4486,63.3726,0.5021,98.4007,97.076,98.638,0.28,99.9657,0.0787,0.0569,0.0709,0.0055,0.0133,0.0315,3.4398,3.4568,3.4504,2.6078,3.9918,74.745,36,547,68,415,287925334,66475289,415915,99.0725,41234555,0,26,10
9/12/2023,Najran,45181Najran,11639.7672,545.3667,211.7621,0.501,98.3413,96.373,98.4851,0.2004,99.9776,0.049,0.0421,0.0434,0.0027,0.0097,0.0257,3.455,3.4708,3.4743,2.1657,3.854,72.3208,94,1253,102,934,997427393,259961488,42480,99.9682,128201715,0,80,14
9/12/2023,Jizan,45181Jizan,11041.7463,523.3245,191.2135,0.5054,98.7299,98.1238,98.7837,0.3066,99.9612,0.0734,0.0611,0.0513,0.0076,0.0141,0.0399,3.4817,3.5,3.508,2.3317,3.315,73.5299,83,1872,65,1328,871828197,278303106,156765,99.8315,87193635,0,73,10
9/12/2023,Southern Remote,45181Southern Remote,43770.5918,2073.2493,789.0886,0.5112,97.5334,96.0297,97.8539,0.3964,99.9086,0.0791,0.0707,0.0774,0.0265,0.0413,0.0317,3.4587,3.4746,3.4709,2.4968,3.8498,68.9796,1814,12112,1409,7043,3362474744,925475253,2157010,99.5596,474076070,0,1301,513
9/12/2023,Western Region,45181Western Region,14124.1452,667.4113,252.8376,0.5665,97.2495,96.8254,97.2969,0.6272,99.9745,0.1091,0.1044,0.0974,0.1742,0.0752,0.0283,3.5937,3.6151,3.591,2.7104,3.8953,63.3604,982,8804,1025,2636,723678256,490375128,843580,99.2586,109904675,3,868,114
9/12/2023,Remote Jizan,45181Remote Jizan,18619.5974,896.3682,338.8479,0.5137,97.0855,94.128,97.6595,0.4174,99.8444,0.0898,0.0815,0.086,0.0208,0.0188,0.0301,3.465,3.4818,3.4706,2.6176,3.8627,68.2198,1023,5943,634,3395,1340210547,385894254,1367500,99.1513,149515740,0,688,335
9/12/2023,Remote Najran,45181Remote Najran,6525.4014,304.7113,117.4633,0.5091,97.6853,97.4292,97.8094,0.2868,99.9745,0.0648,0.0557,0.0614,0.0218,0.0614,0.0264,3.4455,3.4596,3.457,2.5944,3.7549,68.5281,273,1065,155,739,520841387,128612756,71695,99.9076,77443070,0,174,99
9/12/2023,Remote Aseer,45181Remote Aseer,18625.5929,872.1699,332.7774,0.5094,98.0563,97.6523,98.1147,0.4125,99.9584,0.0736,0.0655,0.0744,0.0335,0.0567,0.0351,3.4574,3.473,3.476,2.3437,3.8693,69.9413,518,5104,620,2909,1501422810,410968243,717815,99.7141,247117260,0,439,79
9/12/2023,Southern City,45181Southern City,62438.6765,2939.9576,1010.7639,0.49,97.7109,96.6769,97.7943,0.2621,99.9701,0.057,0.0486,0.0502,0.0103,0.0128,0.0323,3.4691,3.4859,3.4987,2.136,3.3761,72.7405,701,8833,514,6145,5198126952,1512868820,983890,99.8692,713453660,0,625,76
9/12/2023,"Cluster=Aseer CL1,Rule Name=Opt Clusters","45181Cluster=Aseer CL1,Rule Name=Opt Clusters",13669.3202,640.9297,199.4298,0.4799,97.2272,97.8836,97.1793,0.2925,99.9675,0.0463,0.0464,0.0502,0.0299,0.0323,0.0317,3.4715,3.4886,3.5106,2.0803,3.0848,70.2659,231,2385,121,1552,1152184386,345369819,70650,99.9689,217352740,0,219,12
9/12/2023,"Cluster=Aseer CL2,Rule Name=Opt Clusters","45181Cluster=Aseer CL2,Rule Name=Opt Clusters",24282.3756,1141.6636,362.7117,0.4786,97.136,96.0766,97.2201,0.291,99.9649,0.0563,0.047,0.0617,0.0227,0.0345,0.0349,3.4681,3.4847,3.503,1.9881,3.4783,69.2993,407,3832,332,2409,2036324041,594009039,344085,99.86,236190705,0,366,41
9/12/2023,"Cluster=Aseer CL3,Rule Name=Opt Clusters","45181Cluster=Aseer CL3,Rule Name=Opt Clusters",5970.6583,279.5657,109.8371,0.5163,98.3086,99.2674,98.2033,0.4301,99.9539,0.0673,0.0728,0.0597,0.0078,0.0347,0.0353,3.4454,3.4597,3.4661,2.3625,3.5896,70.3704,140,1777,169,939,476358645,118147312,636305,99.4365,110023615,0,134,6
9/12/2023,"Cluster=Jizan CL1,Rule Name=Opt Clusters","45181Cluster=Jizan CL1,Rule Name=Opt Clusters",20063.0706,956.43,353.5857,0.5086,97.8068,94.0189,98.4483,0.3189,99.9621,0.0788,0.0646,0.0729,0.0069,0.016,0.0361,3.4737,3.4916,3.488,2.5173,3.5914,71.6349,514,4022,233,2626,1529402532,466812633,567645,99.6746,162840825,0,311,203
9/12/2023,"Cluster=USF8 CL1,Rule Name=Opt Clusters","45181Cluster=USF8 CL1,Rule Name=Opt Clusters",0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,100,0,0,0,0
9/12/2023,"Cluster=USF8 CL2,Rule Name=Opt Clusters","45181Cluster=USF8 CL2,Rule Name=Opt Clusters",53.861,2.4819,0.9368,0.4941,100,100,100,0,100,0.0394,0.0345,0.0243,0.0014,0.0021,0.0169,3.4608,3.4713,3.49,1.6285,3.8476,58.8146,0,0,0,0,4530831,1197260,180,99.9479,345420,0,0,0
9/12/2023,"Cluster=Aseer CL4,Rule Name=Opt Clusters","45181Cluster=Aseer CL4,Rule Name=Opt Clusters",8246.7841,384.1935,152.4023,0.5196,98.5164,97.2596,98.7971,0.3491,99.9758,0.0687,0.0584,0.0571,0.0037,0.0157,0.0292,3.4544,3.4686,3.4688,2.7903,3.5477,71.4072,169,1796,237,1079,658611015,175068180,35685,99.971,120108835,0,112,57
9/12/2023,"Cluster=Jizan CL2,Rule Name=Opt Clusters","45181Cluster=Jizan CL2,Rule Name=Opt Clusters",17841.084,855.1395,330.6245,0.5136,97,95.2423,97.2869,0.3967,99.8412,0.0901,0.0782,0.0694,0.0304,0.0189,0.0303,3.4698,3.4866,3.4808,2.4009,3.8875,70.4559,728,5070,591,3071,1338177805,389761528,1380425,99.1573,151057220,0,566,162
9/12/2023,"Cluster=Najran CL1,Rule Name=Opt Clusters","45181Cluster=Najran CL1,Rule Name=Opt Clusters",14343.1617,671.1489,258.8152,0.5017,97.8307,97.7466,97.8488,0.2333,99.9762,0.0542,0.0472,0.0502,0.007,0.0156,0.0253,3.454,3.4695,3.4704,2.2088,3.8415,71.9493,245,1804,201,1321,1221085483,318413905,96220,99.9404,156103970,0,200,45
9/12/2023,"Cluster=Najran CL2,Rule Name=Opt Clusters","45181Cluster=Najran CL2,Rule Name=Opt Clusters",1792.8137,84.136,32.4462,0.5035,97.2635,96.686,98.3003,0.2609,99.9676,0.0581,0.0498,0.0512,0.0436,0.1597,0.0227,3.4236,3.4381,3.4353,2.3202,3.7203,65.4618,81,259,39,191,148457789,30761657,9885,99.9708,33851820,0,18,63
9/12/2023,Jazan Province,45181Jazan Province,37905.7969,1811.653,684.2065,0.5109,97.3954,94.6046,97.8568,0.3561,99.9035,0.0841,0.071,0.0713,0.0182,0.0175,0.0334,3.4717,3.4892,3.4846,2.4628,3.7298,71.0667,1242,9101,826,5693,2868145239,855862263,1950475,99.4262,315539835,0,877,365
9/12/2023,Aseer Province,45181Aseer Province,52101.3492,2443.2772,823.1949,0.4893,97.7881,97.6771,97.8006,0.3154,99.9662,0.0567,0.0516,0.0576,0.0191,0.0304,0.0332,3.4644,3.4805,3.4958,2.1738,3.3912,70.3949,927,9750,853,5965,4315733345,1232689332,1084320,99.8465,681688505,0,828,99
9/12/2023,Najran Province,45181Najran Province,16202.1222,758.2768,292.4512,0.5018,97.6257,97.0103,97.8734,0.2381,99.9751,0.0549,0.0476,0.0505,0.012,0.036,0.025,3.4501,3.4655,3.4661,2.2278,3.8291,71.2426,346,2094,244,1530,1376723112,349792478,106105,99.9458,190301390,0,221,125
9/13/2023,Khamis Mushait,45182Khamis Mushait,16271.6359,763.9318,221.0611,0.4688,96.2106,96.0674,96.2199,0.2655,99.9692,0.0479,0.0442,0.0528,0.0025,0.0095,0.0294,3.476,3.4924,3.5184,1.838,3.1687,48.7455,221,2111,116,1371,1379224770,422982738,118230,99.9319,166087065,0,207,14
9/13/2023,Bishah,45182Bishah,2911.8573,137.0172,54.7886,0.52,98.4082,97.6048,98.5572,0.2934,99.9744,0.0468,0.0433,0.0332,0.0019,0.0162,0.0252,3.4584,3.475,3.481,3.0852,3.4287,72.4144,17,501,47,347,250546837,69323761,25655,99.9575,57775945,0,13,4
9/13/2023,Southern Region_FDD,45182Southern Region_FDD,106443.8572,5008.3279,1799.0516,0.4994,97.7507,95.9402,98.0607,0.3059,99.9702,0.0639,0.0555,0.0596,0.0143,0.0229,0.031,3.4664,3.4826,3.4892,2.2977,3.5462,71.0039,2255,19875,1637,12574,8551471228,2456638469,1849475,99.7385,701751780,2,1660,595
9/13/2023,Southern Region_TDD,45182Southern Region_TDD,314.7036,20.6868,7.112,0.4886,96.3269,96.5414,96.2937,1.2006,99.9607,0.4751,0.1639,0.2494,0.0177,0.0524,0.1494,3.4333,3.4494,3.4318,3.3718,5.0334,58.491,182,489,225,329,24273469,6273975,781745,99.867,538107945,0,159,23
9/13/2023,Western Region_FDD,45182Western Region_FDD,14575.9012,677.0847,257.9378,0.5719,97.4615,97.9008,97.4176,0.5528,99.9771,0.1003,0.086,0.0883,0.0833,0.0674,0.0276,3.6055,3.6254,3.5968,2.7128,3.8621,63.387,878,8189,847,2269,733515349,522159882,418380,99.6249,109377470,1,812,66
9/13/2023,Western Region_TDD,45182Western Region_TDD,24.5469,1.1083,0.4317,0.4929,94.8012,96.4286,94.2387,1.9924,99.8998,0.2794,0.3866,0.0983,0.0063,0.1242,0.2357,3.5168,3.5323,3.4402,4.584,3.8175,65.2166,17,36,11,20,1052640,428784,0,100,2073600,0,14,3
9/13/2023,Abha,45182Abha,9734.2075,458.1142,131.3615,0.4723,96.8093,93.9698,96.9639,0.2498,99.9654,0.0411,0.0421,0.0431,0.0298,0.0119,0.0334,3.4788,3.4961,3.5215,2.0566,2.8663,68.1595,123,1470,64,973,814995241,254256857,78880,99.9517,153928770,0,111,12
9/13/2023,Southern Region All,45182Southern Region All,121359.0089,5707.2076,2064.533,0.5079,97.6221,96.2963,97.8244,0.3376,99.9703,0.0692,0.0595,0.0635,0.0218,0.0295,0.0309,3.4832,3.4999,3.5019,2.3497,3.5892,69.9882,3332,28589,2720,15192,9310312686,2985501110,3049600,99.7836,1351310795,3,2645,687
