Date,NB-IoT Cell Group,Integrity,L.NB.Traffic.User.Avg,L.NB.Traffic.User.Max,RRC Setup Success Rate (NB-IoT),Downlink UE throughput (NB-IoT),Uplink UE throughput (NB-IoT),Service Drop Rate (NB-IoT),Downlink Packet Loss Rate (NB-IoT),Uplink Residual Block Error Rate (NB-IoT),Downlink SRB Packet Loss Rate (NB-IoT),NB-IoT RACH Success Rate(%),NB-IoT RACH Success Rate(%) Cov-Lvl 0,NB-IoT RACH Success Rate(%) Cov-Lvl 1
9/12/2023,"Cluster=Aseer CL3,Rule Name=Opt Clusters","45181Cluster=Aseer CL3,Rule Name=Opt Clusters",3345.0689,35246,97.0875,0.7381,0.6567,0.0549,0.0001,2.862,0.0001,37.0673,52.0398,11.474
9/12/2023,"Cluster=Aseer CL4,Rule Name=Opt Clusters","45181Cluster=Aseer CL4,Rule Name=Opt Clusters",2511.2295,31144,98.4695,0.9652,0.8234,0.0251,0,3.2059,0,28.7656,53.4819,5.6294
9/12/2023,"Cluster=Jizan CL1,Rule Name=Opt Clusters","45181Cluster=Jizan CL1,Rule Name=Opt Clusters",2983.5298,30041,98.3391,0.9118,0.7802,0.03,0.0001,4.0648,0.0001,20.3969,32.4467,5.5253
9/12/2023,"Cluster=Najran CL1,Rule Name=Opt Clusters","45181Cluster=Najran CL1,Rule Name=Opt Clusters",1895.7456,25152,98.266,0.9001,0.8622,0.0582,0.0001,1.807,0.0001,47.4732,66.0276,10.1009
9/12/2023,"Cluster=Najran CL2,Rule Name=Opt Clusters","45181Cluster=Najran CL2,Rule Name=Opt Clusters",578.3165,5222,96.183,0.3742,0.4049,0.0786,0.0002,1.9034,0.0002,55.4713,67.5389,21.9769
9/12/2023,Aseer Province,45181Aseer Province,10092.9705,112621,98.0836,0.8711,0.7368,0.0335,0.0001,5.3835,0.0001,16.1036,38.566,3.0863
9/12/2023,Jazan Province,45181Jazan Province,6921.046,67520,97.5816,0.741,0.6522,0.0505,0.0001,4.0791,0.0001,22.7452,35.5008,6.6277
9/12/2023,Najran Province,45181Najran Province,2480.6867,30452,97.8115,0.6989,0.6964,0.0625,0.0001,1.8203,0.0001,49.4732,66.4692,12.5542
9/13/2023,Southern Region,45182Southern Region,16051.9136,183667,98.6709,1.2671,0.9573,0.0207,0,4.8944,0,16.3322,34.6934,3.0748
9/13/2023,Western Region,45182Western Region,1899.0055,29815,98.2865,1.4462,1.0825,0.019,0.0001,1.7201,0.0001,46.5776,61.9427,9.203
9/13/2023,Abha,45182Abha,880.3884,10226,99.0805,1.3797,0.8409,0.0092,0,8.9065,0,4.6837,15.8542,0.9822
9/13/2023,Khamis Mushait,45182Khamis Mushait,878.7247,11754,99.4835,3.171,1.6725,0.0126,0,8.7317,0,4.2413,14.8041,0.618
9/13/2023,Jizan,45182Jizan,769.015,8200,99.5893,2.4638,1.7705,0.0058,0.0001,6.1378,0.0001,8.2796,16.8954,1.3805
9/13/2023,Najran,45182Najran,872.0853,13771,99.625,2.2848,1.7582,0.0079,0,1.792,0,42.5725,58.256,7.7517
9/13/2023,Bishah,45182Bishah,601.2059,8514,99.3807,1.307,0.9471,0.008,0,6.15,0,11.7513,31.5887,2.0175
9/13/2023,Muhayel,45182Muhayel,557.1572,5366,98.8032,0.9685,0.9046,0.0168,0.0001,2.3381,0.0001,35.3469,47.9951,11.566
9/13/2023,Abu Arish,45182Abu Arish,411.3399,4437,99.6052,3.911,1.775,0.0015,0,6.8368,0,7.9051,16.9983,1.6605
9/13/2023,Sabya,45182Sabya,335.5613,3218,99.8179,5.5539,2.4218,0.0002,0,5.3872,0,10.2705,18.1825,1.7198
9/13/2023,"Cluster=Aseer CL2,Rule Name=Opt Clusters","45182Cluster=Aseer CL2,Rule Name=Opt Clusters",1770.3667,22200,99.2259,2.0972,1.2768,0.0124,0,7.6271,0,6.9945,21.3744,1.1912
9/13/2023,"Cluster=Jizan CL2,Rule Name=Opt Clusters","45182Cluster=Jizan CL2,Rule Name=Opt Clusters",3418.8945,30600,98.1488,0.9833,0.8031,0.0324,0.0001,4.0185,0.0001,22.6374,36.3205,6.1062
9/13/2023,"Cluster=Aseer CL1,Rule Name=Opt Clusters","45182Cluster=Aseer CL1,Rule Name=Opt Clusters",1642.7271,18996,98.8047,1.0715,0.7696,0.0123,0,8.1696,0,6.8338,20.9442,1.3938
9/13/2023,"Cluster=Aseer CL3,Rule Name=Opt Clusters","45182Cluster=Aseer CL3,Rule Name=Opt Clusters",2677.0095,29745,98.0016,1.1415,0.885,0.0276,0,2.8977,0,32.5305,46.9369,9.2991
9/13/2023,"Cluster=Aseer CL4,Rule Name=Opt Clusters","45182Cluster=Aseer CL4,Rule Name=Opt Clusters",1903.475,28049,99.1393,1.8551,1.2238,0.009,0,3.5959,0,22.3736,46.9409,3.6342
9/13/2023,"Cluster=Jizan CL1,Rule Name=Opt Clusters","45182Cluster=Jizan CL1,Rule Name=Opt Clusters",2440.7628,25078,99.1157,1.6023,1.1521,0.0139,0,4.2297,0,17.0631,29.2563,3.7287
9/13/2023,"Cluster=Najran CL1,Rule Name=Opt Clusters","45182Cluster=Najran CL1,Rule Name=Opt Clusters",1500.2479,21776,98.9395,1.372,1.1547,0.0265,0.0001,1.5052,0.0001,49.6918,65.8875,10.3562
9/13/2023,"Cluster=Najran CL2,Rule Name=Opt Clusters","45182Cluster=Najran CL2,Rule Name=Opt Clusters",425.6884,4527,98.4519,0.7152,0.6792,0.0241,0.0001,1.5019,0.0001,57.9553,70.7081,20.3637
9/13/2023,Aseer Province,45182Aseer Province,7996.9078,99012,98.7243,1.4066,0.9926,0.0165,0,5.7949,0,12.5249,31.787,2.2128
9/13/2023,Jazan Province,45182Jazan Province,5851.7804,55595,98.5793,1.173,0.9135,0.0241,0.0001,4.1251,0.0001,19.934,32.9533,4.9355
9/13/2023,Najran Province,45182Najran Province,1930.4836,26364,98.8356,1.1355,0.9918,0.0259,0.0001,1.5028,0.0001,51.7016,67.1243,12.532
9/14/2023,Southern Region,45183Southern Region,17948.8576,202777,98.2291,0.8106,0.7169,0.0284,0.0001,4.8073,0.0001,18.3902,38.8003,3.6317
9/14/2023,Western Region,45183Western Region,2074.4748,33440,98.0096,1.1534,0.9199,0.0202,0.0002,1.7647,0.0002,46.02,61.5303,9.1477
9/14/2023,Abha,45183Abha,1002.0545,11732,98.8861,0.8412,0.6616,0.0114,0,8.6299,0,5.7066,19.6423,1.1529
9/14/2023,Khamis Mushait,45183Khamis Mushait,1020.8664,12703,99.2992,1.5914,1.1487,0.0158,0,8.3488,0,5.2251,18.5154,0.8146
9/14/2023,Jizan,45183Jizan,863.8855,8974,99.2779,1.1465,1.0666,0.0104,0.0001,6.2488,0.0001,9.5684,20.1313,1.815
9/14/2023,Najran,45183Najran,991.8815,12989,99.4496,1.416,1.2491,0.0129,0.0001,1.9383,0.0001,43.1462,60.2703,8.403
9/14/2023,Bishah,45183Bishah,754.3784,9414,98.6537,0.529,0.5319,0.0199,0,5.8482,0,14.8583,37.478,2.9594
9/14/2023,Muhayel,45183Muhayel,648.097,7008,98.2417,0.5559,0.6072,0.0269,0.0001,2.3544,0.0001,40.2119,55.1301,13.4198
9/14/2023,Abu Arish,45183Abu Arish,452.2463,4871,99.4945,1.5753,1.1998,0.0042,0,6.2982,0,10.3356,23.8308,1.8946
9/14/2023,Sabya,45183Sabya,376.4197,4486,99.6664,1.8714,1.4126,0.0045,0,5.2123,0,12.8622,24.9066,2.1447
9/14/2023,"Cluster=Aseer CL2,Rule Name=Opt Clusters","45183Cluster=Aseer CL2,Rule Name=Opt Clusters",2075.4382,24434,98.9277,1.0822,0.8749,0.0174,0.0001,7.2676,0.0001,8.5382,25.8156,1.5487
9/14/2023,"Cluster=Jizan CL2,Rule Name=Opt Clusters","45183Cluster=Jizan CL2,Rule Name=Opt Clusters",3543.4143,33183,97.7008,0.6865,0.6321,0.038,0.0001,4.0052,0.0001,24.8585,40.7492,6.5814
9/14/2023,"Cluster=Aseer CL1,Rule Name=Opt Clusters","45183Cluster=Aseer CL1,Rule Name=Opt Clusters",1859.4679,21241,98.5761,0.7553,0.6304,0.0146,0.0001,7.879,0.0001,8.1413,25.0265,1.6112
9/14/2023,"Cluster=Aseer CL3,Rule Name=Opt Clusters","45183Cluster=Aseer CL3,Rule Name=Opt Clusters",3015.1442,35026,97.4877,0.7255,0.6493,0.0398,0.0001,2.9813,0.0001,34.5266,49.346,10.4595
9/14/2023,"Cluster=Aseer CL4,Rule Name=Opt Clusters","45183Cluster=Aseer CL4,Rule Name=Opt Clusters",2263.3204,31856,98.6765,0.9345,0.8087,0.0162,0,3.4319,0,25.5417,51.1861,4.6754
9/14/2023,"Cluster=Jizan CL1,Rule Name=Opt Clusters","45183Cluster=Jizan CL1,Rule Name=Opt Clusters",2712.0707,27977,98.5476,0.8739,0.7864,0.0222,0.0001,4.3061,0.0001,19.4023,33.4851,4.5426
9/14/2023,"Cluster=Najran CL1,Rule Name=Opt Clusters","45183Cluster=Najran CL1,Rule Name=Opt Clusters",1689.7944,20460,98.672,1.0252,0.9372,0.0357,0.0001,1.6128,0.0001,49.8864,66.9366,10.9385
9/14/2023,"Cluster=Najran CL2,Rule Name=Opt Clusters","45183Cluster=Najran CL2,Rule Name=Opt Clusters",472.6546,5430,97.2424,0.5664,0.546,0.0421,0.0001,1.6553,0.0001,55.7658,67.8524,21.0731
9/14/2023,Aseer Province,45183Aseer Province,9209.7394,112377,98.3268,0.8447,0.7235,0.0238,0.0001,5.616,0.0001,14.4537,35.9604,2.6895
9/14/2023,Jazan Province,45183Jazan Province,6254.3628,61222,98.0795,0.757,0.6899,0.031,0.0001,4.1503,0.0001,22.1382,37.1857,5.542
9/14/2023,Najran Province,45183Najran Province,2167.2025,26008,98.358,0.8745,0.808,0.037,0.0001,1.6207,0.0001,51.3137,67.1887,13.1024
9/15/2023,Southern Region,45184Southern Region,19486.6325,204013,98.0276,0.8965,0.7892,0.0327,0.0001,4.4051,0.0001,20.9205,43.2052,4.2041
9/15/2023,Western Region,45184Western Region,2201.1348,30112,97.8365,1.193,0.9787,0.0218,0.0001,1.595,0.0001,48.2477,63.5219,10.026
9/15/2023,Abha,45184Abha,1070.3404,11801,98.7604,0.9765,0.7272,0.0132,0,8.4598,0,6.5105,21.8972,1.3401
9/15/2023,Khamis Mushait,45184Khamis Mushait,1055.552,12949,99.325,2.1086,1.3277,0.015,0,8.0861,0,5.6988,20.2704,0.8843
9/15/2023,Jizan,45184Jizan,884.4519,8924,99.273,1.4211,1.2589,0.0106,0.0001,5.4743,0.0001,11.7996,25.5993,1.9739
9/15/2023,Najran,45184Najran,1100.726,15432,99.2933,1.2485,1.1907,0.0153,0,2.1342,0,40.3335,62.0146,7.0785
9/15/2023,Bishah,45184Bishah,800.8203,8905,98.6458,0.7036,0.6497,0.0206,0,5.3858,0,17.6247,43.5922,3.5736
9/15/2023,Muhayel,45184Muhayel,665.66,5981,98.1832,0.7256,0.7547,0.0307,0.0001,2.1433,0.0001,41.7149,57.531,13.5347
9/15/2023,Abu Arish,45184Abu Arish,472.4372,5373,99.4512,2.1919,1.4362,0.0036,0,5.8299,0,11.7383,27.3177,2.1171
9/15/2023,Sabya,45184Sabya,388.2567,3806,99.7292,2.9946,1.8013,0.0023,0,4.7438,0,14.8689,29.4711,2.2845
9/15/2023,"Cluster=Aseer CL2,Rule Name=Opt Clusters","45184Cluster=Aseer CL2,Rule Name=Opt Clusters",2174.2788,24459,98.8678,1.2922,0.9947,0.0182,0,6.8917,0,9.4235,28.4351,1.6879
9/15/2023,"Cluster=Jizan CL2,Rule Name=Opt Clusters","45184Cluster=Jizan CL2,Rule Name=Opt Clusters",3869.0036,33388,97.3278,0.7182,0.6556,0.0475,0.0001,3.7188,0.0001,28.0265,44.836,7.9676
9/15/2023,"Cluster=Aseer CL1,Rule Name=Opt Clusters","45184Cluster=Aseer CL1,Rule Name=Opt Clusters",1983.0906,20998,98.3595,0.8458,0.6927,0.0195,0.0001,7.5934,0.0001,9.1297,27.3419,1.8606
9/15/2023,"Cluster=Aseer CL3,Rule Name=Opt Clusters","45184Cluster=Aseer CL3,Rule Name=Opt Clusters",3279.9195,32674,97.3918,0.8767,0.7811,0.0417,0.0001,2.6452,0.0001,38.1931,53.6064,11.2725
9/15/2023,"Cluster=Aseer CL4,Rule Name=Opt Clusters","45184Cluster=Aseer CL4,Rule Name=Opt Clusters",2455.3929,30957,98.5687,1.1862,0.9637,0.0205,0,3.0766,0,29.1272,56.2417,5.3101
9/15/2023,"Cluster=Jizan CL1,Rule Name=Opt Clusters","45184Cluster=Jizan CL1,Rule Name=Opt Clusters",2943.3528,29477,98.3636,0.9608,0.839,0.025,0.0001,3.7798,0.0001,23.2267,39.577,5.7868
9/15/2023,"Cluster=Najran CL1,Rule Name=Opt Clusters","45184Cluster=Najran CL1,Rule Name=Opt Clusters",1868.0584,23817,98.3454,0.9562,0.9291,0.0413,0,1.749,0,47.8055,67.8709,9.7094
9/15/2023,"Cluster=Najran CL2,Rule Name=Opt Clusters","45184Cluster=Najran CL2,Rule Name=Opt Clusters",574.7136,5140,96.7237,0.4503,0.4938,0.0529,0.0002,1.735,0.0002,58.1406,70.6172,22.8328
9/15/2023,Aseer Province,45184Aseer Province,9894.1123,109070,98.2114,1.012,0.843,0.0266,0,5.1695,0,16.4097,39.7817,3.0044
9/15/2023,Jazan Province,45184Jazan Province,6805.7964,62817,97.7921,0.8075,0.7236,0.0375,0.0001,3.7589,0.0001,25.684,42.3133,6.8833
9/15/2023,Najran Province,45184Najran Province,2447.9015,29023,97.9959,0.7692,0.7741,0.0437,0.0001,1.7435,0.0001,50.3149,68.6165,12.2695
9/16/2023,Southern Region,45185Southern Region,24814.6508,238430,97.6059,0.6296,0.6109,0.0429,0.0001,4.253,0.0001,24.4897,47.4484,5.3703
9/16/2023,Western Region,45185Western Region,2759.5626,37945,97.5182,1.0154,0.8498,0.0251,0.0002,1.4879,0.0002,50.5397,64.9587,11.4071
9/16/2023,Abha,45185Abha,1429.2434,13823,98.4191,0.5904,0.5315,0.0197,0.0001,8.2062,0.0001,8.7366,27.1792,1.9948
9/16/2023,Khamis Mushait,45185Khamis Mushait,1426.9926,16172,99.0621,1.1236,0.8917,0.0187,0,7.7185,0,7.4581,23.4966,1.3241
9/16/2023,Jizan,45185Jizan,1119.5016,10738,99.144,0.9511,0.9244,0.0154,0.0001,5.182,0.0001,14.8189,33.5858,2.4121
9/16/2023,Najran,45185Najran,1415.6454,17217,99.049,0.8887,0.9063,0.0242,0.0001,2.137,0.0001,44.2797,64.9647,8.8015
9/16/2023,Bishah,45185Bishah,1105.8032,10744,97.7298,0.3614,0.4039,0.0395,0,5.1948,0,22.7704,48.8873,5.2993
9/16/2023,Muhayel,45185Muhayel,827.2059,7725,97.5289,0.4511,0.5275,0.0463,0.0001,2.231,0.0001,44.392,58.8881,15.4457
9/16/2023,Abu Arish,45185Abu Arish,665.1818,6306,99.1279,1.0535,0.9117,0.0078,0,5.5484,0,15.4678,33.49,3.2939
9/16/2023,Sabya,45185Sabya,514.3719,5285,99.485,1.3817,1.1464,0.0069,0,4.581,0,18.2661,36.5416,2.9443
9/16/2023,"Cluster=Aseer CL2,Rule Name=Opt Clusters","45185Cluster=Aseer CL2,Rule Name=Opt Clusters",2877.9882,30190,98.4877,0.7886,0.6994,0.0256,0,6.5941,0,11.8912,31.8498,2.403
9/16/2023,"Cluster=Jizan CL2,Rule Name=Opt Clusters","45185Cluster=Jizan CL2,Rule Name=Opt Clusters",4801.1392,38416,96.953,0.576,0.5728,0.0547,0.0001,3.5664,0.0001,31.5757,49.5278,9.0399
9/16/2023,"Cluster=Aseer CL1,Rule Name=Opt Clusters","45185Cluster=Aseer CL1,Rule Name=Opt Clusters",2604.729,24642,98.0222,0.5686,0.5254,0.0261,0.0001,7.3333,0.0001,11.7853,32.5629,2.6726
9/16/2023,"Cluster=Aseer CL3,Rule Name=Opt Clusters","45185Cluster=Aseer CL3,Rule Name=Opt Clusters",4030.5939,39288,96.8514,0.5868,0.5789,0.058,0.0001,2.6792,0.0001,41.2523,56.2188,13.1101
9/16/2023,"Cluster=Aseer CL4,Rule Name=Opt Clusters","45185Cluster=Aseer CL4,Rule Name=Opt Clusters",3328.9575,36898,98.0641,0.6597,0.6377,0.0306,0,2.9981,0,34.1921,59.4627,7.3345
9/16/2023,"Cluster=Jizan CL1,Rule Name=Opt Clusters","45185Cluster=Jizan CL1,Rule Name=Opt Clusters",3722.0151,33291,98.0073,0.6931,0.6713,0.0323,0.0001,3.5806,0.0001,27.4539,46.4859,7.0567
9/16/2023,"Cluster=Najran CL1,Rule Name=Opt Clusters","45185Cluster=Najran CL1,Rule Name=Opt Clusters",2364.1253,26538,97.9668,0.7424,0.7545,0.0589,0.0001,1.7591,0.0001,51.0604,69.7854,11.6611
9/16/2023,"Cluster=Najran CL2,Rule Name=Opt Clusters","45185Cluster=Najran CL2,Rule Name=Opt Clusters",676.4156,5429,95.8749,0.3762,0.418,0.0669,0.0001,1.87,0.0001,56.4576,68.505,22.7663
9/16/2023,Aseer Province,45185Aseer Province,12845.7883,130906,97.7703,0.6398,0.6061,0.0372,0.0001,5.0291,0.0001,19.6944,43.6204,4.0409
9/16/2023,Jazan Province,45185Jazan Province,8511.9607,71678,97.4217,0.6212,0.6102,0.0446,0.0001,3.5877,0.0001,29.5634,48.052,8.0488
9/16/2023,Najran Province,45185Najran Province,3048.2148,32108,97.5115,0.6213,0.6435,0.0605,0.0001,1.779,0.0001,52.4022,69.4719,14.0028
9/17/2023,Southern Region,45186Southern Region,22091.3587,235336,97.5557,0.6392,0.6025,0.0425,0.0001,4.5269,0.0001,22.2886,44.2016,4.9567
9/17/2023,Western Region,45186Western Region,2506.7125,38242,97.4902,0.9106,0.7828,0.0263,0.0002,1.731,0.0002,47.4591,61.9987,10.7227
9/17/2023,Abha,45186Abha,1259.6156,13609,98.3954,0.633,0.5382,0.0193,0.0001,8.4395,0.0001,7.5612,23.994,1.7671
9/17/2023,Khamis Mushait,45186Khamis Mushait,1232.4581,16737,99.0445,1.1848,0.8726,0.0199,0,7.9622,0,6.4098,21.1655,1.1741
9/17/2023,Jizan,45186Jizan,960.9341,10919,99.1473,1.06,0.9828,0.0148,0.0001,5.6885,0.0001,12.0481,25.5664,2.1628
9/17/2023,Najran,45186Najran,1255.0083,18030,98.9759,0.8226,0.8168,0.0226,0,2.5275,0,39.2393,62.1601,7.4008
9/17/2023,Bishah,45186Bishah,985.0911,10136,97.866,0.397,0.4195,0.036,0.0001,5.4785,0.0001,20.8794,47.0493,4.9296
9/17/2023,Muhayel,45186Muhayel,742.3435,6887,97.8215,0.5458,0.6172,0.037,0,2.2172,0,44.8652,61.7517,14.5699
9/17/2023,Abu Arish,45186Abu Arish,545.4601,5898,99.3266,1.3837,1.0955,0.0051,0,5.791,0,13.2713,28.1446,2.7557
9/17/2023,Sabya,45186Sabya,425.1701,5074,99.5266,1.6268,1.2162,0.0059,0,5.1511,0,14.7284,29.8336,2.489
9/17/2023,"Cluster=Aseer CL2,Rule Name=Opt Clusters","45186Cluster=Aseer CL2,Rule Name=Opt Clusters",2561.6577,30672,98.4777,0.8164,0.6921,0.0245,0,6.7999,0,10.6369,29.799,2.1891
9/17/2023,"Cluster=Jizan CL2,Rule Name=Opt Clusters","45186Cluster=Jizan CL2,Rule Name=Opt Clusters",4166.3145,37692,96.8819,0.5635,0.541,0.0586,0.0001,3.9339,0.0001,28.2493,44.503,8.3634
9/17/2023,"Cluster=Aseer CL1,Rule Name=Opt Clusters","45186Cluster=Aseer CL1,Rule Name=Opt Clusters",2313.1108,24341,97.9447,0.6009,0.5308,0.0252,0.0001,7.5868,0.0001,10.3801,29.3956,2.4214
9/17/2023,"Cluster=Aseer CL3,Rule Name=Opt Clusters","45186Cluster=Aseer CL3,Rule Name=Opt Clusters",3747.4807,38180,96.8378,0.6233,0.6099,0.0539,0.0001,2.7426,0.0001,40.2071,55.0957,12.9401
9/17/2023,"Cluster=Aseer CL4,Rule Name=Opt Clusters","45186Cluster=Aseer CL4,Rule Name=Opt Clusters",2949.0706,35720,98.0182,0.6834,0.6361,0.0298,0.0001,3.2469,0.0001,31.6171,57.9657,6.683
9/17/2023,"Cluster=Jizan CL1,Rule Name=Opt Clusters","45186Cluster=Jizan CL1,Rule Name=Opt Clusters",3219.0705,32401,98.0183,0.7259,0.6709,0.031,0.0001,3.9311,0.0001,24.2275,40.6354,6.3819
9/17/2023,"Cluster=Najran CL1,Rule Name=Opt Clusters","45186Cluster=Najran CL1,Rule Name=Opt Clusters",2135.8406,27440,97.8399,0.6888,0.6876,0.0588,0.0001,2.0357,0.0001,46.7558,67.2854,10.2207
9/17/2023,"Cluster=Najran CL2,Rule Name=Opt Clusters","45186Cluster=Najran CL2,Rule Name=Opt Clusters",625.2906,5534,95.4371,0.3409,0.3771,0.0755,0.0001,2.0022,0.0001,55.8145,67.6745,23.4446
9/17/2023,Aseer Province,45186Aseer Province,11570.4173,128925,97.7331,0.6689,0.6151,0.0353,0.0001,5.2258,0.0001,18.1289,41.574,3.7592
